,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All Accounts Gain/Loss Detail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Previous Year Realized Gain/Loss for All Accounts as of 06/04/26 06:42:01 PM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Account Number,Name,Symbol,CUSIP,Quantity,Date Acquired,Holding Period,Date Sold,Unit Cost($),Wash Sale Cost Adj($),Total Cost($),Adjusted Cost($),Proceeds($),Realized Gain/Loss($),Realized Gain/Loss(%),Wash Sale Disallowed($),Covered Indicator,Wash Sale Indicator
Total,,,,,,,,,69.21,1899583.55,1899583.55,2138944.76,239361.21,12.600720299983646,206.7,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Account contains securities for which cost basis and/or other values are not available (indicated by a ""N/A"" displaying in the cost and/or gain (loss) fields). Totals shown do not incorporate gains (or losses) for these securities. In addition, total cost or adjusted cost may also be unavailable and excluded from totals. Please contact your Financial Advisor for additional information. The accuracy of the purchase date, cost basis and other information you provide is not independently verified.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"For Pricing information, please go to the Help + Support section.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Non-covered securities are not subject to the IRS cost basis reporting regulations, therefore their date of acquisition, cost basis, short or long term designation and any disallowed loss resulting from a wash sale will not be reported to the IRS.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Important Information About Auction Rate Securities
For certain Auction Rate Securities there is no or limited liquidity. Therefore, the price(s) for these Auction Rate Securities are indicated as not being available by a dash ""-"" or ""N/A"". There can be no assurance that a successful auction will occur or that a secondary market exists or will develop for a particular security.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prices of securities not actively traded may not be available, and are indicated by a dash ""-"" or ""N/A"".",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Special Considerations Regarding Structured Investments
Structured Investments are complex products and may be subject to special risks, which may include, but are not limited to: loss of initial investment; issuer credit risk and price volatility resulting from any actual or anticipated changes to issuer's and/or guarantor's credit ratings or credit spreads; limited or no appreciation and limits on participation in any appreciation of underlying asset(s); risks associated with the underlying reference asset(s); no periodic payments; call prior to maturity; early redemption fees for market linked deposits; lower interest rates and/or yield compared to conventional debt with comparable maturity; unique tax implications; limited or no secondary market; and conflicts of interest due to affiliation, compensation or other factors which could adversely affect market value or payout to investors. Investors also should consider the concentration risk of owning the related security and their total exposure to any underlying asset. Structured Investments may not perform in a manner consistent with the statement product category where they appear and therefore may not satisfy portfolio asset allocation needs for that category. Accrued interest, estimated annual income and estimated yield for Structured Investments with a contingent income feature, including Range Accrual Notes and Contingent Income Notes, assume optimal performance of the underlying asset(s) and payment in full of all contingent interest. However, contingent interest is only paid if the specified accrual conditions are met during the relevant observation period. Actual accrued interest, annual income and yield will be dependent upon the performance of the underlying asset(s) and may be significantly lower than the estimates shown. For more information about the risks specific to your Structured Investments, you should contact your Financial Advisor. For important information on the risks and conflicts of interest related to structured products generally, click here or contact your Financial Advisor.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You should not use the Unrealized Gain/Loss information to evaluate the actual performance of the securities in your account. Your gain/loss information may or may not be inclusive of distributions of capital gains and/or dividends depending on the type of holding. Only trade confirmations and statements represent the official records of your account,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"P - When there is a ""P"" next to a transaction, this indicates that you have provided the trade history for this transaction; it was not available through Morgan Stanley Smith Barney LLC records.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
H - Wash sale rules apply to this tax lot. The cost basis has been adjusted to account for disallowed loss of a related wash sale transaction for this covered security.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"W - Wash sale rules apply to this tax lot. Disallowed loss for covered securities will be reported on Form 1099-B for the current tax year. The G/L Amount does not include adjustments for disallowed losses due to wash sales. To take into account the disallowed loss adjustments, add the total Wash Sale Loss Disallowed ($) to the total G/L Amount ($).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"The gain and loss information is provided for informational purposes only, is not a substitute 1099 form (or any other appropriate tax form), and should not be used for tax preparation. Unrealized gain and loss values are estimates and should be independently verified. Morgan Stanley does not provide tax advice. We recommend that you contact your tax advisor to determine the appropriate use of this information. Past performance does not guarantee future returns.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Gain and loss information is calculated based upon uniform standards and does not account for each individual client's particular circumstances such as the existence of hedging transactions or constructive sales. Although we make every effort to adjust the cost basis for securities' capital changes, we do not adjust the cost basis for all events. Contact your Financial Advisor for guidance on particular questions.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The CashPlus Account is a brokerage account offered through Morgan Stanley Smith Barney LLC. Conditions and restrictions apply. Please refer to the CashPlus Account Disclosure Statement for further details.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Morgan Stanley Smith Barney LLC is a registered Broker/Dealer, Member SIPC, and not a bank. Where appropriate, Morgan Stanley Smith Barney LLC has entered into arrangements with banks and other third parties to assist in offering certain banking related products and services.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Investment, insurance and annuity products offered through Morgan Stanley Smith Barney LLC are: NOT FDIC INSURED | MAY LOSE VALUE | NOT BANK GUARANTEED | NOT A BANK DEPOSIT | NOT INSURED BY ANY FEDERAL GOVERNMENT AGENCY",,,,,,,,,,,,,,,,,
